record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EPMI,RW30,08202,3000,N53231916,E016055326,,00492,0000,52,148,IMI,,S,Simulation application continuation,,,,17141,2008,SEEUP EPMIEPGRW30    1082023000 N53231916E016055326               00492000052148 IMI  0492                                 ,SEEUP EPMIEPGRW30    2S                            30500Y        T00492                                                    
S,EEU,P,G,EPML,RW08R,08176,0840,N50192033,E021264865,,00543,0614,50,148,,,S,Simulation application continuation,,,,17158,2013,SEEUP EPMLEPGRW08R   1081760840 N50192033E021264865               00543061450148      0000                                 ,SEEUP EPMLEPGRW08R   2S                            09000Y        L00543                                                    
S,EEU,P,G,EPML,RW17,02156,1740,N50193600,E021271200,,00540,0000,40,082,,,S,Simulation application continuation,,,,17160,2013,SEEUP EPMLEPGRW17    1021561740 N50193600E021271200               00540000040082      0000                                 ,SEEUP EPMLEPGRW17    2S                            18000Y        L00540                                                    
S,EEU,P,G,EPML,RW26L,08176,2640,N50192003,E021284516,,00544,0000,50,148,,,S,Simulation application continuation,,,,17162,2013,SEEUP EPMLEPGRW26L   1081762640 N50192003E021284516               00544000050148      0000                                 ,SEEUP EPMLEPGRW26L   2S                            27000Y        L00544                                                    
S,EEU,P,G,EPML,RW35,02156,3540,N50191500,E021271100,,00544,0000,40,082,,,S,Simulation application continuation,,,,17164,2013,SEEUP EPMLEPGRW35    1021563540 N50191500E021271100               00544000040082      0000                                 ,SEEUP EPMLEPGRW35    2S                            36000Y        L00544                                                    
S,EEU,P,G,EPMM,RW08,08202,0840,N52114419,E021381544,+0320,00561,0000,50,262,,,S,Simulation application continuation,,,,17220,1607,SEEUP EPMMEPGRW08    1082020840 N52114419E021381544+0320          00561000050262      0098                                 ,SEEUP EPMMEPGRW08    2S                            09000Y        T00568                                                    
S,EEU,P,G,EPMM,RW26,08202,2640,N52114383,E021402703,-0320,00604,0000,50,262,IMM,,S,Simulation application continuation,,,,17222,2112,SEEUP EPMMEPGRW26    1082022640 N52114383E021402703-0320          00604000050262 IMM  0098                                 ,SEEUP EPMMEPGRW26    2S                            27000Y        L00604                                                    
S,EEU,P,G,EPMO,RW08,08202,0760,N52265824,E020380130,,00341,0000,56,148,IMDX,,S,Simulation application continuation,,,,17538,2506,SEEUP EPMOEPGRW08    1082020760 N52265824E020380130         +0135000341000056148 IMDX 0000                                 ,SEEUP EPMOEPGRW08    2S                            08100Y        L00341                                                    
S,EEU,P,G,EPMO,RW26,08202,2560,N52271054,E020401214,,00340,0000,50,148,,,S,Simulation application continuation,,,,17540,2506,SEEUP EPMOEPGRW26    1082022560 N52271054E020401214         +0134700340000050148      0000                                 ,SEEUP EPMOEPGRW26    2S                            26100Y        T00342                                                    
S,EEU,P,G,EPOD,RW09L,02789,0900,N53462630,E020244133,,00433,0984,40,075,,,S,Simulation application continuation,,,,17581,2405,SEEUP EPODEPGRW09L   1027890900 N53462630E020244133               00433098440075      0000                                 ,SEEUP EPODEPGRW09L   2S                            09500Y        L00433                                                    
S,EEU,P,G,EPOD,RW27R,02789,2700,N53462500,E020251200,,00433,0000,40,075,,,S,Simulation application continuation,,,,17583,2401,SEEUP EPODEPGRW27R   1027892700 N53462500E020251200               00433000040075      0000                                 ,SEEUP EPODEPGRW27R   2S                            27500Y        L00433                                                    
